Agency,Service
"Design And Construction, Department of",IDENTITY MANAGEMENT 
"Design And Construction, Department of",PASSWORD SELF-SERVICE
"Design And Construction, Department of",SITE-TO-SITE VPN
"Design And Construction, Department of",SOFTWARE SECURITY ASSURANCE
"Design And Construction, Department of",SSL REMOTE ACCESS
"Design And Construction, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Design And Construction, Department of",CISCO MAINTENANCE CONTRACT
"Design And Construction, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Design And Construction, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Design And Construction, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Design And Construction, Department of",PRIMARY DATA CENTER
"Design And Construction, Department of",EMAIL
"Design And Construction, Department of",PROVISIONING
"Design And Construction, Department of",SELF-PROVISIONING
"Design And Construction, Department of",MAINFRAME
"Design And Construction, Department of",LYNC 2013
"Design And Construction, Department of",SECURE FILE TRANSFER 
"Design And Construction, Department of",SHAREPOINT
"Design And Construction, Department of",SITE B (STERLING FOREST) MAINFRAME
"Design And Construction, Department of",WORKSHOPS
"Design And Construction, Department of",CITYNET
"Design And Construction, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Design And Construction, Department of",SECURE WIRELESS (LAN) SERVICES
"Design And Construction, Department of",ADVISORY SERVICES 
"Design And Construction, Department of",CLOUD REVIEW
"Design And Construction, Department of",ADOBE ETLA
"Design And Construction, Department of",VMWARE ELA
"Design And Construction, Department of",MICROSOFT ELA
"Design And Construction, Department of",MOBILE DEVICES AND SERVICES
"Design And Construction, Department of",VoIP
"Design And Construction, Department of",PERFORMANCE TEST
"Education, Department of",BUSINESS ANALYSIS
"Education, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Education, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Education, Department of",HUMAN CENTERED DESIGN
"Education, Department of",MAPPING/LOCATION SERVICES
"Education, Department of",PROJECT MANAGEMENT 
"Education, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Education, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Education, Department of",WEB SINGLE SIGN-ON
"Education, Department of",IDENTITY MANAGEMENT 
"Education, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Education, Department of",PASSWORD SELF-SERVICE
"Education, Department of",SITE-TO-SITE VPN
"Education, Department of",SOFTWARE SECURITY ASSURANCE
"Education, Department of",SSL REMOTE ACCESS
"Education, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Education, Department of",CISCO MAINTENANCE CONTRACT
"Education, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Education, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Education, Department of",IT SECURITY ( SECURITY CLASS II)
"Education, Department of",QUALITY CONTROL SERVICES (QC)
"Education, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Education, Department of",APPLICATION SUPPORT
"Education, Department of",PROVISIONING
"Education, Department of",MAINFRAME
"Education, Department of",SECURE FILE TRANSFER 
"Education, Department of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Education, Department of",SITE B (STERLING FOREST) MAINFRAME
"Education, Department of",WORKSHOPS
"Education, Department of",CABLE INFRASTRUCTURE
"Education, Department of",CITYNET
"Education, Department of",ADVISORY SERVICES 
"Education, Department of",CLOUD REVIEW
"Education, Department of",USER EXPERIENCE DESIGN
"Education, Department of",VMWARE ELA
"Education, Department of",TELECOMM CONTRACT
"Education, Department of",FUNCTIONAL TESTING
"Education, Department of",PERFORMANCE TEST
"Education, Department of",QUALITY ASSURANCE SUPPORT 
"Emergency Management, NYC Office of",BUSINESS ANALYSIS
"Emergency Management, NYC Office of",BUSINESS APPLICATION DEVELOPMENT 
"Emergency Management, NYC Office of",BUSINESS-AS-USUAL (ANALYTICS)
"Emergency Management, NYC Office of",HUMAN CENTERED DESIGN
"Emergency Management, NYC Office of",MAPPING/LOCATION SERVICES
"Emergency Management, NYC Office of",MOBILE DEVELOPMENT 
"Emergency Management, NYC Office of",PROJECT MANAGEMENT 
"Emergency Management, NYC Office of",SOLUTION DEVELOPMENT (ANALYTICS)
"Emergency Management, NYC Office of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Emergency Management, NYC Office of",NYC.GOV
"Emergency Management, NYC Office of",SITE-TO-SITE VPN
"Emergency Management, NYC Office of",SOFTWARE SECURITY ASSURANCE
"Emergency Management, NYC Office of",SSL REMOTE ACCESS
"Emergency Management, NYC Office of",CDWG - IT GOODS AND RELATED SERVICES 
"Emergency Management, NYC Office of",CISCO MAINTENANCE CONTRACT
"Emergency Management, NYC Office of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Emergency Management, NYC Office of",SYSTEMS INTEGRATION SERVICES (SI)
"Emergency Management, NYC Office of",APPLICATION SUPPORT
"Emergency Management, NYC Office of",PROVISIONING
"Emergency Management, NYC Office of",SHAREPOINT
"Emergency Management, NYC Office of",SITEB SERVICES
"Emergency Management, NYC Office of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Emergency Management, NYC Office of",WORKSHOPS
"Emergency Management, NYC Office of",CABLE INFRASTRUCTURE
"Emergency Management, NYC Office of",CITYNET
"Emergency Management, NYC Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Emergency Management, NYC Office of",ADVISORY SERVICES 
"Emergency Management, NYC Office of",CLOUD REVIEW
"Emergency Management, NYC Office of",USER EXPERIENCE DESIGN
"Emergency Management, NYC Office of",ADOBE ETLA
"Emergency Management, NYC Office of",MICROSOFT ELA
"Emergency Management, NYC Office of",MOBILE DEVICES AND SERVICES
"Emergency Management, NYC Office of",VIDEO CONFERENCING SOLUTIONS
"Emergency Management, NYC Office of",FUNCTIONAL TESTING
"Emergency Management, NYC Office of",PERFORMANCE TEST
"Environmental Protection, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Environmental Protection, Department of",BUSINESS ANALYSIS
"Environmental Protection, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Environmental Protection, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Environmental Protection, Department of",MAPPING/LOCATION SERVICES
"Environmental Protection, Department of",PROJECT MANAGEMENT 
"Environmental Protection, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Environmental Protection, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Environmental Protection, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Environmental Protection, Department of",NYC.GOV
"Environmental Protection, Department of",WEB SINGLE SIGN-ON
"Environmental Protection, Department of",IDENTITY MANAGEMENT 
"Environmental Protection, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Environmental Protection, Department of",PASSWORD SELF-SERVICE
"Environmental Protection, Department of",SITE-TO-SITE VPN
"Environmental Protection, Department of",SOFTWARE SECURITY ASSURANCE
"Environmental Protection, Department of",SSL REMOTE ACCESS
"Environmental Protection, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Environmental Protection, Department of",CISCO MAINTENANCE CONTRACT
"Environmental Protection, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Environmental Protection, Department of",GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS)
"Environmental Protection, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Environmental Protection, Department of",APPLICATION SUPPORT
"Environmental Protection, Department of",PROVISIONING
"Environmental Protection, Department of",MAINFRAME
"Environmental Protection, Department of",SECURE FILE TRANSFER 
"Environmental Protection, Department of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Environmental Protection, Department of",SITE B (STERLING FOREST) MAINFRAME
"Environmental Protection, Department of",WORKSHOPS
"Environmental Protection, Department of",CABLE INFRASTRUCTURE
"Environmental Protection, Department of",CITYNET
"Environmental Protection, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Environmental Protection, Department of",ADVISORY SERVICES 
"Environmental Protection, Department of",ADOBE ETLA
"Environmental Protection, Department of",VMWARE ELA
"Environmental Protection, Department of",MICROSOFT ELA
"Environmental Protection, Department of",MOBILE DEVICES AND SERVICES
"Environmental Protection, Department of",TELECOMM CONTRACT
"Environmental Protection, Department of",VIDEO CONFERENCING SOLUTIONS
"Environmental Protection, Department of",FUNCTIONAL TESTING
"Environmental Protection, Department of",PERFORMANCE TEST
"Environmental Protection, Department of",QUALITY ASSURANCE SUPPORT 
"Finance, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Finance, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Finance, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Finance, Department of",MAPPING/LOCATION SERVICES
"Finance, Department of",PROJECT MANAGEMENT 
"Finance, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Finance, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Finance, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Finance, Department of",NYC.GOV
"Finance, Department of",WEB SINGLE SIGN-ON
"Finance, Department of",AUTOMATIC USER DE-PROVISIONING
"Finance, Department of",IDENTITY MANAGEMENT 
"Finance, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Finance, Department of",PASSWORD SELF-SERVICE
"Finance, Department of",SITE-TO-SITE VPN
"Finance, Department of",SOFTWARE SECURITY ASSURANCE
"Finance, Department of",SSL REMOTE ACCESS
"Finance, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Finance, Department of",CISCO MAINTENANCE CONTRACT
"Finance, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Finance, Department of",QUALITY CONTROL SERVICES (QC)
"Finance, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Finance, Department of",DATA EXCHANGE
"Finance, Department of",APPLICATION SUPPORT
"Finance, Department of",SERVICE DESK
"Finance, Department of",PRIMARY DATA CENTER
"Finance, Department of",EMAIL
"Finance, Department of",PROVISIONING
"Finance, Department of",SELF-PROVISIONING
"Finance, Department of",MAINFRAME
"Finance, Department of",LYNC 2013
"Finance, Department of",SECURE FILE TRANSFER 
"Finance, Department of",SHAREPOINT
"Finance, Department of",SITEB SERVICES
"Finance, Department of",SITE B (STERLING FOREST) MAINFRAME
"Finance, Department of",WORKSHOPS
"Finance, Department of",CABLE INFRASTRUCTURE
"Finance, Department of",CITYNET
"Finance, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Finance, Department of",SECURE WIRELESS (LAN) SERVICES
"Finance, Department of",ADVISORY SERVICES 
"Finance, Department of",CLOUD REVIEW
"Finance, Department of",ADOBE ETLA
"Finance, Department of",VMWARE ELA
"Finance, Department of",MICROSOFT ELA
"Finance, Department of",CONTACT CENTER SOLUTIONS
"Finance, Department of",MOBILE DEVICES AND SERVICES
"Finance, Department of",TELECOMM CONTRACT
"Finance, Department of",VoIP
"Finance, Department of",FUNCTIONAL TESTING
"Finance, Department of",PERFORMANCE TEST
"Finance, Department of",QUALITY ASSURANCE SUPPORT 
Fire Department of NY,APPLICATION AUTHENTICATION AND AUTHORIZATION
Fire Department of NY,BUSINESS ANALYSIS
Fire Department of NY,BUSINESS APPLICATION DEVELOPMENT 
Fire Department of NY,BUSINESS-AS-USUAL (ANALYTICS)
Fire Department of NY,MAPPING/LOCATION SERVICES
Fire Department of NY,MOBILE DEVELOPMENT 
Fire Department of NY,PROJECT MANAGEMENT 
Fire Department of NY,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
Fire Department of NY,SOLUTION DEVELOPMENT (ANALYTICS)
Fire Department of NY,WEB SINGLE SIGN-ON
Fire Department of NY,IDENTITY MANAGEMENT 
Fire Department of NY,NYC.ID/IDENTITY MANAGEMENT 
Fire Department of NY,PASSWORD SELF-SERVICE
Fire Department of NY,SITE-TO-SITE VPN
Fire Department of NY,SOFTWARE SECURITY ASSURANCE
Fire Department of NY,SSL REMOTE ACCESS
Fire Department of NY,CDWG - IT GOODS AND RELATED SERVICES 
Fire Department of NY,CISCO MAINTENANCE CONTRACT
Fire Department of NY,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
Fire Department of NY,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
Fire Department of NY,IT SECURITY ( SECURITY CLASS II)
Fire Department of NY,QUALITY CONTROL SERVICES (QC)
Fire Department of NY,SYSTEMS INTEGRATION SERVICES (SI)
Fire Department of NY,DATA EXCHANGE
Fire Department of NY,EMAIL
Fire Department of NY,PROVISIONING
Fire Department of NY,SELF-PROVISIONING
Fire Department of NY,MAINFRAME
Fire Department of NY,LYNC 2013
Fire Department of NY,SECURE FILE TRANSFER 
Fire Department of NY,SHAREPOINT
Fire Department of NY,"SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
Fire Department of NY,SITE B (STERLING FOREST) MAINFRAME
Fire Department of NY,WORKSHOPS
Fire Department of NY,CITYNET
Fire Department of NY,CLOUD REVIEW
Fire Department of NY,ADOBE ETLA
Fire Department of NY,VMWARE ELA
Fire Department of NY,MICROSOFT ELA
Fire Department of NY,MOBILE DEVICES AND SERVICES
Fire Department of NY,TELECOMM CONTRACT
Fire Department of NY,PERFORMANCE TEST
Fire Department of NY,QUALITY ASSURANCE SUPPORT 
"Health & Mental Hygiene, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Health & Mental Hygiene, Department of",BUSINESS ANALYSIS
"Health & Mental Hygiene, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Health & Mental Hygiene, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Health & Mental Hygiene, Department of",MAPPING/LOCATION SERVICES
"Health & Mental Hygiene, Department of",MOBILE DEVELOPMENT 
"Health & Mental Hygiene, Department of",PROJECT MANAGEMENT 
"Health & Mental Hygiene, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Health & Mental Hygiene, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Health & Mental Hygiene, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Health & Mental Hygiene, Department of",NYC.GOV
"Health & Mental Hygiene, Department of",WEB SINGLE SIGN-ON
"Health & Mental Hygiene, Department of",IDENTITY MANAGEMENT 
"Health & Mental Hygiene, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Health & Mental Hygiene, Department of",PASSWORD SELF-SERVICE
"Health & Mental Hygiene, Department of",SITE-TO-SITE VPN
"Health & Mental Hygiene, Department of",SOFTWARE SECURITY ASSURANCE
"Health & Mental Hygiene, Department of",SSL REMOTE ACCESS
"Health & Mental Hygiene, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Health & Mental Hygiene, Department of",CISCO MAINTENANCE CONTRACT
"Health & Mental Hygiene, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Health & Mental Hygiene, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Health & Mental Hygiene, Department of",QUALITY CONTROL SERVICES (QC)
"Health & Mental Hygiene, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Health & Mental Hygiene, Department of",DATA EXCHANGE
"Health & Mental Hygiene, Department of",APPLICATION SUPPORT
"Health & Mental Hygiene, Department of",PROVISIONING
"Health & Mental Hygiene, Department of",SELF-PROVISIONING
"Health & Mental Hygiene, Department of",MAINFRAME
"Health & Mental Hygiene, Department of",SECURE FILE TRANSFER 
"Health & Mental Hygiene, Department of",SHAREPOINT
"Health & Mental Hygiene, Department of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Health & Mental Hygiene, Department of",SITE B (STERLING FOREST) MAINFRAME
"Health & Mental Hygiene, Department of",WORKSHOPS
"Health & Mental Hygiene, Department of",CABLE INFRASTRUCTURE
"Health & Mental Hygiene, Department of",CITYNET
"Health & Mental Hygiene, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Health & Mental Hygiene, Department of",ADVISORY SERVICES 
"Health & Mental Hygiene, Department of",CLOUD REVIEW
"Health & Mental Hygiene, Department of",USER EXPERIENCE DESIGN
"Health & Mental Hygiene, Department of",ADOBE ETLA
"Health & Mental Hygiene, Department of",VMWARE ELA
"Health & Mental Hygiene, Department of",MICROSOFT ELA
"Health & Mental Hygiene, Department of",MOBILE DEVICES AND SERVICES
"Health & Mental Hygiene, Department of",TELECOMM CONTRACT
"Health & Mental Hygiene, Department of",VIDEO CONFERENCING SOLUTIONS
"Health & Mental Hygiene, Department of",VoIP
"Health & Mental Hygiene, Department of",FUNCTIONAL TESTING
"Health & Mental Hygiene, Department of",PERFORMANCE TEST
Health + Hospitals,APPLICATION AUTHENTICATION AND AUTHORIZATION
Health + Hospitals,BUSINESS-AS-USUAL (ANALYTICS)
Health + Hospitals,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
Health + Hospitals,SOLUTION DEVELOPMENT (ANALYTICS)
Health + Hospitals,WEB SINGLE SIGN-ON
Health + Hospitals,IDENTITY MANAGEMENT 
Health + Hospitals,NYC.ID/IDENTITY MANAGEMENT 
Health + Hospitals,PASSWORD SELF-SERVICE
Health + Hospitals,SITE-TO-SITE VPN
Health + Hospitals,SOFTWARE SECURITY ASSURANCE
Health + Hospitals,SSL REMOTE ACCESS
Health + Hospitals,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
Health + Hospitals,SHAREPOINT
Health + Hospitals,SITE B (STERLING FOREST) MAINFRAME
Health + Hospitals,CITYNET
Health + Hospitals,DATA CONNECTIVITY (CIRCUIT ORDERS)
Health + Hospitals,ADOBE ETLA
Health + Hospitals,VMWARE ELA
Health + Hospitals,TELECOMM CONTRACT
"Housing Authority, NYC",BUSINESS APPLICATION DEVELOPMENT 
"Housing Authority, NYC",BUSINESS-AS-USUAL (ANALYTICS)
"Housing Authority, NYC",MAPPING/LOCATION SERVICES
"Housing Authority, NYC",SOLUTION DEVELOPMENT (ANALYTICS)
"Housing Authority, NYC",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Housing Authority, NYC",NYC.GOV
"Housing Authority, NYC",SITE-TO-SITE VPN
"Housing Authority, NYC",SOFTWARE SECURITY ASSURANCE
"Housing Authority, NYC",SSL REMOTE ACCESS
"Housing Authority, NYC",APPLICATION SUPPORT
"Housing Authority, NYC",PROVISIONING
"Housing Authority, NYC",MAINFRAME
"Housing Authority, NYC",SECURE FILE TRANSFER 
"Housing Authority, NYC",SITE B (STERLING FOREST) MAINFRAME
"Housing Authority, NYC",WORKSHOPS
"Housing Authority, NYC",CABLE INFRASTRUCTURE
"Housing Authority, NYC",CITYNET
"Housing Authority, NYC",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Housing Authority, NYC",ADOBE ETLA
"Housing Authority, NYC",VMWARE ELA
"Housing Authority, NYC",MOBILE DEVICES AND SERVICES
Housing Preservation & Development,APPLICATION AUTHENTICATION AND AUTHORIZATION
Housing Preservation & Development,BUSINESS ANALYSIS
Housing Preservation & Development,BUSINESS APPLICATION DEVELOPMENT 
Housing Preservation & Development,BUSINESS-AS-USUAL (ANALYTICS)
Housing Preservation & Development,MAPPING/LOCATION SERVICES
Housing Preservation & Development,PROJECT MANAGEMENT 
Housing Preservation & Development,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
Housing Preservation & Development,SOLUTION DEVELOPMENT (ANALYTICS)
Housing Preservation & Development,WEBSITE DESIGN BUILD AND MAINTENANCE  
Housing Preservation & Development,NYC.GOV
Housing Preservation & Development,WEB SINGLE SIGN-ON
Housing Preservation & Development,IDENTITY MANAGEMENT 
Housing Preservation & Development,NYC.ID/IDENTITY MANAGEMENT 
Housing Preservation & Development,PASSWORD SELF-SERVICE
Housing Preservation & Development,SITE-TO-SITE VPN
Housing Preservation & Development,SOFTWARE SECURITY ASSURANCE
Housing Preservation & Development,SSL REMOTE ACCESS
Housing Preservation & Development,CISCO MAINTENANCE CONTRACT
Housing Preservation & Development,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
Housing Preservation & Development,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
Housing Preservation & Development,SYSTEMS INTEGRATION SERVICES (SI)
Housing Preservation & Development,DATA EXCHANGE
Housing Preservation & Development,APPLICATION SUPPORT
Housing Preservation & Development,SERVICE DESK
Housing Preservation & Development,PRIMARY DATA CENTER
Housing Preservation & Development,EMAIL
Housing Preservation & Development,PROVISIONING
Housing Preservation & Development,SELF-PROVISIONING
Housing Preservation & Development,MAINFRAME
Housing Preservation & Development,LYNC 2013
Housing Preservation & Development,SECURE FILE TRANSFER 
Housing Preservation & Development,SHAREPOINT
Housing Preservation & Development,SITE B (STERLING FOREST) MAINFRAME
Housing Preservation & Development,WORKSHOPS
Housing Preservation & Development,CABLE INFRASTRUCTURE
Housing Preservation & Development,CITYNET
Housing Preservation & Development,DATA CONNECTIVITY (CIRCUIT ORDERS)
Housing Preservation & Development,SECURE WIRELESS (LAN) SERVICES
Housing Preservation & Development,ADVISORY SERVICES 
Housing Preservation & Development,CLOUD REVIEW
Housing Preservation & Development,ADOBE ETLA
Housing Preservation & Development,VMWARE ELA
Housing Preservation & Development,MICROSOFT ELA
Housing Preservation & Development,MOBILE DEVICES AND SERVICES
Housing Preservation & Development,TELECOMM CONTRACT
Housing Preservation & Development,PERFORMANCE TEST
"Human Rights, NYC Commission On",BUSINESS APPLICATION DEVELOPMENT 
"Human Rights, NYC Commission On",PROJECT MANAGEMENT 
"Human Rights, NYC Commission On",SOLUTION DEVELOPMENT (CRM)
"Human Rights, NYC Commission On",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Human Rights, NYC Commission On",NYC.GOV
"Human Rights, NYC Commission On",SITE-TO-SITE VPN
"Human Rights, NYC Commission On",SOFTWARE SECURITY ASSURANCE
"Human Rights, NYC Commission On",SSL REMOTE ACCESS
"Human Rights, NYC Commission On",CISCO MAINTENANCE CONTRACT
"Human Rights, NYC Commission On",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Human Rights, NYC Commission On",SERVICE DESK
"Human Rights, NYC Commission On",PRIMARY DATA CENTER
"Human Rights, NYC Commission On",EMAIL
"Human Rights, NYC Commission On",PROVISIONING
"Human Rights, NYC Commission On",MAINFRAME
"Human Rights, NYC Commission On",SECURE FILE TRANSFER 
"Human Rights, NYC Commission On",SHAREPOINT
"Human Rights, NYC Commission On",SITEB SERVICES
"Human Rights, NYC Commission On",SITE B (STERLING FOREST) MAINFRAME
"Human Rights, NYC Commission On",CABLE INFRASTRUCTURE
"Human Rights, NYC Commission On",CITYNET
"Human Rights, NYC Commission On",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Human Rights, NYC Commission On",SECURE WIRELESS (LAN) SERVICES
"Human Rights, NYC Commission On",ADVISORY SERVICES 
"Human Rights, NYC Commission On",CLOUD REVIEW
"Human Rights, NYC Commission On",ADOBE ETLA
"Human Rights, NYC Commission On",MOBILE DEVICES AND SERVICES
"Human Rights, NYC Commission On",VoIP
"Human Rights, NYC Commission On",FUNCTIONAL TESTING
"Information Technology And Telecommunications, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Information Technology And Telecommunications, Department of",BUSINESS ANALYSIS
"Information Technology And Telecommunications, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Information Technology And Telecommunications, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Information Technology And Telecommunications, Department of",HUMAN CENTERED DESIGN
"Information Technology And Telecommunications, Department of",MAPPING/LOCATION SERVICES
"Information Technology And Telecommunications, Department of",MOBILE DEVELOPMENT 
"Information Technology And Telecommunications, Department of",PROJECT MANAGEMENT 
"Information Technology And Telecommunications, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Information Technology And Telecommunications, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Information Technology And Telecommunications, Department of",SOLUTION DEVELOPMENT (CRM)
"Information Technology And Telecommunications, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Information Technology And Telecommunications, Department of",NYC.GOV
"Information Technology And Telecommunications, Department of",WEB SINGLE SIGN-ON
"Information Technology And Telecommunications, Department of",IDENTITY MANAGEMENT 
"Information Technology And Telecommunications, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Information Technology And Telecommunications, Department of",PASSWORD SELF-SERVICE
"Information Technology And Telecommunications, Department of",SITE-TO-SITE VPN
"Information Technology And Telecommunications, Department of",SOFTWARE SECURITY ASSURANCE
"Information Technology And Telecommunications, Department of",SSL REMOTE ACCESS
"Information Technology And Telecommunications, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Information Technology And Telecommunications, Department of",CISCO MAINTENANCE CONTRACT
"Information Technology And Telecommunications, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Information Technology And Telecommunications, Department of",GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS)
"Information Technology And Telecommunications, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Information Technology And Telecommunications, Department of",IT SECURITY ( SECURITY CLASS II)
"Information Technology And Telecommunications, Department of",QUALITY CONTROL SERVICES (QC)
"Information Technology And Telecommunications, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Information Technology And Telecommunications, Department of",DATA EXCHANGE
"Information Technology And Telecommunications, Department of",APPLICATION SUPPORT
"Information Technology And Telecommunications, Department of",SERVICE DESK
"Information Technology And Telecommunications, Department of",DESKTOP SUPPORT
"Information Technology And Telecommunications, Department of",EMAIL
"Information Technology And Telecommunications, Department of",PROVISIONING
"Information Technology And Telecommunications, Department of",SELF-PROVISIONING
"Information Technology And Telecommunications, Department of",MAINFRAME
"Information Technology And Telecommunications, Department of",LYNC 2013
"Information Technology And Telecommunications, Department of",SECURE FILE TRANSFER 
"Information Technology And Telecommunications, Department of",SHAREPOINT
"Information Technology And Telecommunications, Department of",SITEB SERVICES
"Information Technology And Telecommunications, Department of",SITE B (STERLING FOREST) MAINFRAME
"Information Technology And Telecommunications, Department of",WP ENGINE PLATFORM
"Information Technology And Telecommunications, Department of",WORKSHOPS
"Information Technology And Telecommunications, Department of",CABLE INFRASTRUCTURE
"Information Technology And Telecommunications, Department of",CITYNET
"Information Technology And Telecommunications, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Information Technology And Telecommunications, Department of",NETWORK LAN SUPPORT
"Information Technology And Telecommunications, Department of",SECURE WIRELESS (LAN) SERVICES
"Information Technology And Telecommunications, Department of",ADVISORY SERVICES 
"Information Technology And Telecommunications, Department of",CLOUD REVIEW
"Information Technology And Telecommunications, Department of",USER EXPERIENCE DESIGN
"Information Technology And Telecommunications, Department of",ADOBE ETLA
"Information Technology And Telecommunications, Department of",VMWARE ELA
"Information Technology And Telecommunications, Department of",MICROSOFT ELA
"Information Technology And Telecommunications, Department of",CONTACT CENTER SOLUTIONS
"Information Technology And Telecommunications, Department of",MOBILE DEVICES AND SERVICES
"Information Technology And Telecommunications, Department of",TELECOMM CONTRACT
"Information Technology And Telecommunications, Department of",VIDEO CONFERENCING SOLUTIONS
